"","WORDSUM","AGE","SEX","RACE","EDUC","YEAR","B.YEAR"
"394","3","27","MALE","BLACK","10",1974,NA
"395","7","45","MALE","BLACK","6",1974,NA
"396","2","67","MALE","BLACK","6",1974,NA
"397","5","63","FEMALE","BLACK","7",1974,NA
"398","4","39","FEMALE","BLACK","11",1974,NA
"400","6","63","MALE","WHITE","13",1974,NA
"401","6","39","FEMALE","WHITE","12",1974,NA
"402","5","42","FEMALE","WHITE","10",1974,NA
"403","3","37","FEMALE","WHITE","8",1974,NA
"404","6","29","MALE","WHITE","16",1974,NA
"405","7","24","MALE","WHITE","12",1974,NA
"406","8","72","MALE","WHITE","19",1974,NA
"407","10","76","FEMALE","WHITE","12",1974,NA
"408","10","54","FEMALE","WHITE","17",1974,NA
"409","4","40","MALE","BLACK","9",1974,NA
"410","3","51","MALE","BLACK","5",1974,NA
"411","4","33","FEMALE","BLACK","8",1974,NA
"412","6","59","FEMALE","BLACK","6",1974,NA
"413","2","47","FEMALE","BLACK","5",1974,NA
"414","6","26","MALE","WHITE","12",1974,NA
"415","8","80","MALE","WHITE","8",1974,NA
"416","5","64","MALE","WHITE","8",1974,NA
"417","5","65","FEMALE","WHITE","8",1974,NA
"418","5","61","FEMALE","WHITE","12",1974,NA
"419","8","21","MALE","WHITE","14",1974,NA
"420","7","40","MALE","WHITE","14",1974,NA
"421","2","74","MALE","WHITE","5",1974,NA
"422","5","38","FEMALE","WHITE","12",1974,NA
"423","7","27","FEMALE","WHITE","16",1974,NA
"424","10","26","MALE","WHITE","18",1974,NA
"425","8","51","MALE","WHITE","16",1974,NA
"426","10","51","FEMALE","WHITE","14",1974,NA
"427","9","44","FEMALE","WHITE","14",1974,NA
"428","7","47","FEMALE","WHITE","17",1974,NA
"429","3","27","MALE","WHITE","10",1974,NA
"430","9","45","MALE","WHITE","10",1974,NA
"431","7","53","FEMALE","WHITE","12",1974,NA
"432","9","22","FEMALE","WHITE","12",1974,NA
"433","6","51","FEMALE","WHITE","12",1974,NA
"434","10","20","MALE","WHITE","14",1974,NA
"435","9","76","MALE","WHITE","16",1974,NA
"436","9","69","MALE","WHITE","16",1974,NA
"437","4","39","FEMALE","BLACK","10",1974,NA
"438","5","47","FEMALE","WHITE","10",1974,NA
"439","6","19","MALE","WHITE","12",1974,NA
"440","4","56","MALE","WHITE","8",1974,NA
"441","9","57","MALE","WHITE","12",1974,NA
"442","6","20","FEMALE","WHITE","12",1974,NA
"443","7","49","FEMALE","WHITE","13",1974,NA
"444","3","23","MALE","WHITE","9",1974,NA
"445","7","56","MALE","WHITE","12",1974,NA
"446","6","25","FEMALE","WHITE","10",1974,NA
"447","10","65","FEMALE","WHITE","12",1974,NA
"448","5","56","FEMALE","WHITE","11",1974,NA
"449","10","26","MALE","WHITE","16",1974,NA
"450","8","36","MALE","WHITE","20",1974,NA
"451","6","79","FEMALE","WHITE","5",1974,NA
"452","6","60","FEMALE","WHITE","12",1974,NA
"453","4","54","FEMALE","WHITE","14",1974,NA
"454","6","30","MALE","BLACK","15",1974,NA
"455","7","25","MALE","WHITE","16",1974,NA
"456","1","70","MALE","WHITE","10",1974,NA
"457","6","23","FEMALE","WHITE","12",1974,NA
"458","5","20","FEMALE","WHITE","12",1974,NA
"459","8","46","FEMALE","WHITE","9",1974,NA
"460","10","43","MALE","WHITE","16",1974,NA
"461","9","36","MALE","WHITE","16",1974,NA
"462","7","24","FEMALE","WHITE","16",1974,NA
"463","9","24","FEMALE","WHITE","16",1974,NA
"464","10","30","FEMALE","WHITE","16",1974,NA
"465","7","27","MALE","WHITE","12",1974,NA
"466","6","51","MALE","WHITE","12",1974,NA
"467","6","36","FEMALE","WHITE","12",1974,NA
"468","3","78","FEMALE","WHITE","9",1974,NA
"469","6","30","FEMALE","WHITE","13",1974,NA
"470","6","26","MALE","BLACK","16",1974,NA
"471","7","38","MALE","BLACK","11",1974,NA
"472","8","42","FEMALE","BLACK","10",1974,NA
"473","5","31","FEMALE","WHITE","11",1974,NA
"474","7","21","FEMALE","WHITE","14",1974,NA
"475","5","31","MALE","WHITE","12",1974,NA
"476","7","63","MALE","WHITE","12",1974,NA
"477","5","31","FEMALE","WHITE","12",1974,NA
"478","4","40","FEMALE","WHITE","11",1974,NA
"479","1","43","FEMALE","OTHER","12",1974,NA
"480","3","47","MALE","BLACK","10",1974,NA
"481","4","48","MALE","BLACK","10",1974,NA
"482","3","44","FEMALE","BLACK","11",1974,NA
"483","4","34","FEMALE","BLACK","13",1974,NA
"484","4","42","FEMALE","BLACK","13",1974,NA
"485","6","26","MALE","WHITE","13",1974,NA
"486","5","76","MALE","WHITE","13",1974,NA
"487","6","42","MALE","WHITE","12",1974,NA
"488","7","38","FEMALE","WHITE","12",1974,NA
"489","6","56","FEMALE","WHITE","15",1974,NA
"490","6","28","MALE","WHITE","12",1974,NA
"491","7","39","MALE","WHITE","15",1974,NA
"493","6","21","FEMALE","BLACK","13",1974,NA
"494","6","21","FEMALE","WHITE","12",1974,NA
"495","5","18","MALE","BLACK","11",1974,NA
"496","7","37","MALE","BLACK","13",1974,NA
"497","7","48","FEMALE","BLACK","15",1974,NA
"498","5","28","FEMALE","BLACK","10",1974,NA
"499","3","23","FEMALE","BLACK","12",1974,NA
"500","6","22","MALE","WHITE","12",1974,NA
"501","5","73","MALE","WHITE","9",1974,NA
"502","5","86","FEMALE","WHITE","8",1974,NA
"503","6","32","FEMALE","WHITE","11",1974,NA
"504","4","46","FEMALE","WHITE","11",1974,NA
"505","7","23","MALE","WHITE","12",1974,NA
"506","8","40","MALE","WHITE","12",1974,NA
"507","7","32","FEMALE","WHITE","12",1974,NA
"508","4","32","FEMALE","WHITE","10",1974,NA
"509","7","31","FEMALE","WHITE","12",1974,NA
"510","7","33","MALE","WHITE","13",1974,NA
"511","5","48","MALE","WHITE","12",1974,NA
"512","9","73","MALE","WHITE","13",1974,NA
"513","9","43","FEMALE","WHITE","12",1974,NA
"514","9","51","FEMALE","WHITE","12",1974,NA
"515","5","24","MALE","WHITE","14",1974,NA
"516","7","43","MALE","WHITE","8",1974,NA
"517","5","65","FEMALE","WHITE","8",1974,NA
"518","9","73","FEMALE","WHITE","12",1974,NA
"519","9","70","FEMALE","WHITE","16",1974,NA
"520","9","35","MALE","WHITE","20",1974,NA
"521","5","38","MALE","WHITE","10",1974,NA
"522","6","41","MALE","WHITE","9",1974,NA
"523","6","34","FEMALE","WHITE","12",1974,NA
"524","6","31","FEMALE","BLACK","12",1974,NA
"525","5","26","MALE","WHITE","12",1974,NA
"526","4","57","MALE","WHITE","5",1974,NA
"527","7","42","MALE","WHITE","9",1974,NA
"528","5","47","FEMALE","WHITE","10",1974,NA
"529","6","27","FEMALE","WHITE","9",1974,NA
"530","6","38","MALE","BLACK","13",1974,NA
"531","8","72","MALE","WHITE","10",1974,NA
"532","9","38","FEMALE","WHITE","12",1974,NA
"533","8","66","FEMALE","WHITE","12",1974,NA
"534","8","20","FEMALE","WHITE","14",1974,NA
"535","5","23","MALE","WHITE","12",1974,NA
"536","8","46","MALE","WHITE","16",1974,NA
