"","WORDSUM","AGE","SEX","RACE","EDUC","YEAR"
"326","6","28","FEMALE","WHITE","14",1974
"327","6","24","FEMALE","WHITE","12",1974
"328","8","25","FEMALE","WHITE","13",1974
"329","7","73","MALE","WHITE","11",1974
"330","5","54","MALE","WHITE","8",1974
"331","4","70","FEMALE","WHITE","6",1974
"332","8","51","FEMALE","WHITE","14",1974
"333","10","58","FEMALE","WHITE","15",1974
"334","7","21","MALE","BLACK","12",1974
"335","2","50","MALE","BLACK","3",1974
"336","3","65","FEMALE","BLACK","6",1974
"337","4","45","FEMALE","WHITE","7",1974
"338","4","26","FEMALE","WHITE","8",1974
"339","7","31","MALE","WHITE","14",1974
"340","7","42","MALE","WHITE","13",1974
"341","7","59","FEMALE","WHITE","12",1974
"342","4","66","FEMALE","OTHER","8",1974
"343","9","59","FEMALE","WHITE","12",1974
"344","6","30","MALE","WHITE","12",1974
"345","7","51","MALE","WHITE","16",1974
"346","7","51","MALE","WHITE","16",1974
"347","10","40","FEMALE","WHITE","14",1974
"348","9","55","FEMALE","WHITE","14",1974
"349","4","30","MALE","BLACK","12",1974
"350","4","54","MALE","BLACK","12",1974
"351","5","30","FEMALE","BLACK","12",1974
"352","6","30","FEMALE","BLACK","12",1974
"353","4","54","FEMALE","BLACK","10",1974
"354","7","27","MALE","WHITE","13",1974
"355","3","78","MALE","WHITE","7",1974
"356","7","72","MALE","WHITE","7",1974
"357","5","19","FEMALE","WHITE","11",1974
"358","4","46","FEMALE","WHITE","12",1974
"359","7","26","MALE","WHITE","13",1974
"360","6","76","MALE","WHITE","10",1974
"361","10","57","MALE","WHITE","17",1974
"362","9","43","FEMALE","WHITE","18",1974
"363","9","60","FEMALE","WHITE","12",1974
"364","1","22","MALE","WHITE","11",1974
"365","6","53","MALE","WHITE","8",1974
"366","5","81","FEMALE","WHITE","5",1974
"367","4","57","FEMALE","WHITE","8",1974
"368","6","25","FEMALE","WHITE","13",1974
"369","5","18","MALE","WHITE","12",1974
"370","4","61","MALE","WHITE","12",1974
"371","5","59","MALE","WHITE","8",1974
"372","6","52","FEMALE","WHITE","12",1974
"373","5","61","FEMALE","WHITE","15",1974
"374","2","30","MALE","BLACK","12",1974
"375","6","50","MALE","BLACK","4",1974
"376","3","38","FEMALE","BLACK","6",1974
"377","5","31","FEMALE","BLACK","12",1974
"378","6","44","FEMALE","BLACK","18",1974
"379","9","47","MALE","WHITE","14",1974
"380","7","88","MALE","WHITE","10",1974
"381","8","80","FEMALE","WHITE","15",1974
"382","6","18","FEMALE","WHITE","11",1974
"383","10","66","FEMALE","WHITE","15",1974
"384","6","20","MALE","WHITE","14",1974
"385","7","72","MALE","WHITE","13",1974
"386","6","72","FEMALE","WHITE","12",1974
"387","4","42","FEMALE","WHITE","13",1974
"388","4","19","FEMALE","WHITE","12",1974
"389","10","34","MALE","WHITE","17",1974
"390","7","63","MALE","WHITE","18",1974
"391","8","62","MALE","WHITE","18",1974
"392","4","53","FEMALE","WHITE","12",1974
"393","9","60","FEMALE","WHITE","18",1974
"394","3","27","MALE","BLACK","10",1974
"395","7","45","MALE","BLACK","6",1974
"396","2","67","MALE","BLACK","6",1974
"397","5","63","FEMALE","BLACK","7",1974
"398","4","39","FEMALE","BLACK","11",1974
"399",NA,"33","MALE","WHITE","4",1974
"400","6","63","MALE","WHITE","13",1974
"401","6","39","FEMALE","WHITE","12",1974
"402","5","42","FEMALE","WHITE","10",1974
"403","3","37","FEMALE","WHITE","8",1974
"404","6","29","MALE","WHITE","16",1974
"405","7","24","MALE","WHITE","12",1974
"406","8","72","MALE","WHITE","19",1974
"407","10","76","FEMALE","WHITE","12",1974
"408","10","54","FEMALE","WHITE","17",1974
"409","4","40","MALE","BLACK","9",1974
"410","3","51","MALE","BLACK","5",1974
"411","4","33","FEMALE","BLACK","8",1974
"412","6","59","FEMALE","BLACK","6",1974
"413","2","47","FEMALE","BLACK","5",1974
"414","6","26","MALE","WHITE","12",1974
"415","8","80","MALE","WHITE","8",1974
"416","5","64","MALE","WHITE","8",1974
"417","5","65","FEMALE","WHITE","8",1974
"418","5","61","FEMALE","WHITE","12",1974
"419","8","21","MALE","WHITE","14",1974
"420","7","40","MALE","WHITE","14",1974
"421","2","74","MALE","WHITE","5",1974
"422","5","38","FEMALE","WHITE","12",1974
"423","7","27","FEMALE","WHITE","16",1974
"424","10","26","MALE","WHITE","18",1974
"425","8","51","MALE","WHITE","16",1974
"426","10","51","FEMALE","WHITE","14",1974
"427","9","44","FEMALE","WHITE","14",1974
"428","7","47","FEMALE","WHITE","17",1974
"429","3","27","MALE","WHITE","10",1974
"430","9","45","MALE","WHITE","10",1974
"431","7","53","FEMALE","WHITE","12",1974
"432","9","22","FEMALE","WHITE","12",1974
"433","6","51","FEMALE","WHITE","12",1974
"434","10","20","MALE","WHITE","14",1974
"435","9","76","MALE","WHITE","16",1974
"436","9","69","MALE","WHITE","16",1974
"437","4","39","FEMALE","BLACK","10",1974
"438","5","47","FEMALE","WHITE","10",1974
"439","6","19","MALE","WHITE","12",1974
"440","4","56","MALE","WHITE","8",1974
"441","9","57","MALE","WHITE","12",1974
"442","6","20","FEMALE","WHITE","12",1974
"443","7","49","FEMALE","WHITE","13",1974
"444","3","23","MALE","WHITE","9",1974
"445","7","56","MALE","WHITE","12",1974
"446","6","25","FEMALE","WHITE","10",1974
"447","10","65","FEMALE","WHITE","12",1974
"448","5","56","FEMALE","WHITE","11",1974
"449","10","26","MALE","WHITE","16",1974
"450","8","36","MALE","WHITE","20",1974
"451","6","79","FEMALE","WHITE","5",1974
"452","6","60","FEMALE","WHITE","12",1974
"453","4","54","FEMALE","WHITE","14",1974
"454","6","30","MALE","BLACK","15",1974
"455","7","25","MALE","WHITE","16",1974
"456","1","70","MALE","WHITE","10",1974
"457","6","23","FEMALE","WHITE","12",1974
"458","5","20","FEMALE","WHITE","12",1974
"459","8","46","FEMALE","WHITE","9",1974
"460","10","43","MALE","WHITE","16",1974
"461","9","36","MALE","WHITE","16",1974
"462","7","24","FEMALE","WHITE","16",1974
"463","9","24","FEMALE","WHITE","16",1974
"464","10","30","FEMALE","WHITE","16",1974
"465","7","27","MALE","WHITE","12",1974
"466","6","51","MALE","WHITE","12",1974
"467","6","36","FEMALE","WHITE","12",1974
"468","3","78","FEMALE","WHITE","9",1974
"469","6","30","FEMALE","WHITE","13",1974
"470","6","26","MALE","BLACK","16",1974
"471","7","38","MALE","BLACK","11",1974
"472","8","42","FEMALE","BLACK","10",1974
"473","5","31","FEMALE","WHITE","11",1974
"474","7","21","FEMALE","WHITE","14",1974
"475","5","31","MALE","WHITE","12",1974
"476","7","63","MALE","WHITE","12",1974
"477","5","31","FEMALE","WHITE","12",1974
"478","4","40","FEMALE","WHITE","11",1974
"479","1","43","FEMALE","OTHER","12",1974
"480","3","47","MALE","BLACK","10",1974
"481","4","48","MALE","BLACK","10",1974
"482","3","44","FEMALE","BLACK","11",1974
"483","4","34","FEMALE","BLACK","13",1974
"484","4","42","FEMALE","BLACK","13",1974
"485","6","26","MALE","WHITE","13",1974
"486","5","76","MALE","WHITE","13",1974
"487","6","42","MALE","WHITE","12",1974
"488","7","38","FEMALE","WHITE","12",1974
"489","6","56","FEMALE","WHITE","15",1974
"490","6","28","MALE","WHITE","12",1974
"491","7","39","MALE","WHITE","15",1974
"492",NA,"52","FEMALE","WHITE","12",1974
"493","6","21","FEMALE","BLACK","13",1974
"494","6","21","FEMALE","WHITE","12",1974
"495","5","18","MALE","BLACK","11",1974
"496","7","37","MALE","BLACK","13",1974
"497","7","48","FEMALE","BLACK","15",1974
"498","5","28","FEMALE","BLACK","10",1974
"499","3","23","FEMALE","BLACK","12",1974
"500","6","22","MALE","WHITE","12",1974
"501","5","73","MALE","WHITE","9",1974
"502","5","86","FEMALE","WHITE","8",1974
"503","6","32","FEMALE","WHITE","11",1974
"504","4","46","FEMALE","WHITE","11",1974
"505","7","23","MALE","WHITE","12",1974
"506","8","40","MALE","WHITE","12",1974
"507","7","32","FEMALE","WHITE","12",1974
"508","4","32","FEMALE","WHITE","10",1974
"509","7","31","FEMALE","WHITE","12",1974
"510","7","33","MALE","WHITE","13",1974
"511","5","48","MALE","WHITE","12",1974
"512","9","73","MALE","WHITE","13",1974
"513","9","43","FEMALE","WHITE","12",1974
"514","9","51","FEMALE","WHITE","12",1974
"515","5","24","MALE","WHITE","14",1974
"516","7","43","MALE","WHITE","8",1974
"517","5","65","FEMALE","WHITE","8",1974
"518","9","73","FEMALE","WHITE","12",1974
"519","9","70","FEMALE","WHITE","16",1974
"520","9","35","MALE","WHITE","20",1974
"521","5","38","MALE","WHITE","10",1974
"522","6","41","MALE","WHITE","9",1974
"523","6","34","FEMALE","WHITE","12",1974
"524","6","31","FEMALE","BLACK","12",1974
"525","5","26","MALE","WHITE","12",1974
"526","4","57","MALE","WHITE","5",1974
"527","7","42","MALE","WHITE","9",1974
"528","5","47","FEMALE","WHITE","10",1974
"529","6","27","FEMALE","WHITE","9",1974
"530","6","38","MALE","BLACK","13",1974
"531","8","72","MALE","WHITE","10",1974
"532","9","38","FEMALE","WHITE","12",1974
"533","8","66","FEMALE","WHITE","12",1974
"534","8","20","FEMALE","WHITE","14",1974
"535","5","23","MALE","WHITE","12",1974
"536","8","46","MALE","WHITE","16",1974
"537","8","28","FEMALE","WHITE","16",1974
"538","8","28","FEMALE","WHITE","14",1974
"539","8","31","FEMALE","WHITE","16",1974
"540","3","32","MALE","BLACK","12",1974
"541","4","46","MALE","BLACK","9",1974
"542","3","29","FEMALE","BLACK","15",1974
"543","7","37","FEMALE","BLACK","13",1974
"544","2","31","FEMALE","BLACK","12",1974
"545","6","31","MALE","WHITE","13",1974
"546","6","74","MALE","WHITE","14",1974
"547","9","40","FEMALE","WHITE","16",1974
"548","4","78","FEMALE","WHITE","12",1974
"549","7","30","FEMALE","WHITE","12",1974
"550","3","24","MALE","WHITE","12",1974
"551","4","61","MALE","WHITE","7",1974
"552","7","39","MALE","WHITE","18",1974
"553","5","27","FEMALE","WHITE","9",1974
"554","5","22","FEMALE","WHITE","12",1974
"555","5","26","MALE","WHITE","17",1974
"556","10","59","MALE","WHITE","9",1974
"557",NA,"26","FEMALE","WHITE","14",1974
"558","10","27","FEMALE","WHITE","16",1974
"559","8","58","FEMALE","WHITE","16",1974
"560","5","50","MALE","WHITE","14",1974
"561","7","45","MALE","WHITE","10",1974
"562","9","67","FEMALE","WHITE","13",1974
"563","6","23","FEMALE","WHITE","15",1974
"564","6","61","FEMALE","WHITE","19",1974
"565","5","35","MALE","WHITE","8",1974
"566","5","38","FEMALE","BLACK","9",1974
"567","9","62","FEMALE","BLACK","8",1974
"568","8","60","FEMALE","BLACK","5",1974
"569","6","69","MALE","WHITE","12",1974
"570","5","29","FEMALE","WHITE","12",1974
"571","6","40","FEMALE","WHITE","7",1974
"572","0","40","FEMALE","WHITE","14",1974
"573","5","20","MALE","WHITE","13",1974
"574","10","56","MALE","WHITE","15",1974
"575","5","50","FEMALE","WHITE","12",1974
"576","4","22","FEMALE","WHITE","14",1974
"577","10","54","FEMALE","WHITE","12",1974
"578","5","34","MALE","BLACK","14",1974
"579","5","26","MALE","BLACK","14",1974
"580","9","52","FEMALE","WHITE","10",1974
"581","5","74","FEMALE","BLACK","5",1974
"582","5","23","FEMALE","BLACK","12",1974
"583","7","27","MALE","WHITE","17",1974
"584","7","56","MALE","WHITE","12",1974
"585","6","57","MALE","WHITE","10",1974
